source,timestamp,date,base,USD,EUR,JPY,GBP,CHF
http://data.fixer.io/api/,1528073647,2018-06-04,EUR,1.167819,1.0,128.081684,0.873692,1.155101
http://data.fixer.io/api/,1528076947,2018-06-04,EUR,1.169185,1.0,128.160229,0.874247,1.155482
http://data.fixer.io/api/,915235199,1999-01-01,EUR,1.171626,1.0,133.151679,0.706421,1.611044
http://data.fixer.io/api/,915321599,1999-01-02,EUR,1.170356,1.0,133.02722,0.706447,1.61041
http://data.fixer.io/api/,915407999,1999-01-03,EUR,1.170356,1.0,133.02722,0.706447,1.61041
http://data.fixer.io/api/,915494399,1999-01-04,EUR,1.181155,1.0,132.997509,0.712679,1.61655
http://data.fixer.io/api/,915580799,1999-01-05,EUR,1.177227,1.0,130.834963,0.711087,1.611998
http://data.fixer.io/api/,915667199,1999-01-06,EUR,1.163418,1.0,130.874836,0.702311,1.610066
http://data.fixer.io/api/,915753599,1999-01-07,EUR,1.16786,1.0,129.933141,0.708048,1.616437
http://data.fixer.io/api/,915839999,1999-01-08,EUR,1.158504,1.0,128.944687,0.705049,1.610482
http://data.fixer.io/api/,915926399,1999-01-09,EUR,1.160627,1.0,129.087171,0.705927,1.61059
http://data.fixer.io/api/,916012799,1999-01-10,EUR,1.160627,1.0,129.087171,0.705927,1.61059
http://data.fixer.io/api/,916099199,1999-01-11,EUR,1.152677,1.0,125.555798,0.704265,1.609856
http://data.fixer.io/api/,916185599,1999-01-12,EUR,1.154554,1.0,129.766732,0.708076,1.606176
http://data.fixer.io/api/,916271999,1999-01-13,EUR,1.168522,1.0,131.971569,0.707406,1.590411
http://data.fixer.io/api/,916358399,1999-01-14,EUR,1.169306,1.0,132.822674,0.707247,1.593009
http://data.fixer.io/api/,916444799,1999-01-15,EUR,1.159049,1.0,131.908545,0.701892,1.596394
http://data.fixer.io/api/,916531199,1999-01-16,EUR,1.08428,1.0,123.320718,0.656452,1.492696
http://data.fixer.io/api/,916617599,1999-01-17,EUR,1.08428,1.0,123.320718,0.656452,1.492696
http://data.fixer.io/api/,916703999,1999-01-18,EUR,1.157537,1.0,132.327156,0.699761,1.5957
http://data.fixer.io/api/,916790399,1999-01-19,EUR,1.161173,1.0,131.981559,0.700895,1.597803
http://data.fixer.io/api/,916876799,1999-01-20,EUR,1.156438,1.0,131.04482,0.701943,1.604845
http://data.fixer.io/api/,916963199,1999-01-21,EUR,1.158691,1.0,131.267821,0.701981,1.604585
http://data.fixer.io/api/,917049599,1999-01-22,EUR,1.158074,1.0,132.487895,0.700288,1.601418
http://data.fixer.io/api/,917135999,1999-01-23,EUR,1.157322,1.0,132.259616,0.700007,1.59981
http://data.fixer.io/api/,917222399,1999-01-24,EUR,1.157322,1.0,132.259616,0.700007,1.59981
http://data.fixer.io/api/,917308799,1999-01-25,EUR,1.156355,1.0,131.746341,0.697898,1.598638
http://data.fixer.io/api/,917395199,1999-01-26,EUR,1.156844,1.0,131.756309,0.697121,1.603901
http://data.fixer.io/api/,917481599,1999-01-27,EUR,1.146402,1.0,132.094556,0.695031,1.607593
http://data.fixer.io/api/,917567999,1999-01-28,EUR,1.140871,1.0,132.57435,0.692268,1.612131
http://data.fixer.io/api/,917654399,1999-01-29,EUR,1.136759,1.0,132.053675,0.690341,1.609263
http://data.fixer.io/api/,917740799,1999-01-30,EUR,1.136476,1.0,132.089477,0.690121,1.608623
http://data.fixer.io/api/,917827199,1999-01-31,EUR,1.136476,1.0,132.089477,0.690121,1.608623
http://data.fixer.io/api/,917913599,1999-02-01,EUR,1.13108,1.0,130.314415,0.688959,1.606812
http://data.fixer.io/api/,917999999,1999-02-02,EUR,1.133845,1.0,127.308391,0.69021,1.600825
http://data.fixer.io/api/,918086399,1999-02-03,EUR,1.132817,1.0,127.302711,0.692044,1.600008
http://data.fixer.io/api/,918172799,1999-02-04,EUR,1.131204,1.0,127.401905,0.690034,1.603945
http://data.fixer.io/api/,918259199,1999-02-05,EUR,1.127466,1.0,127.67156,0.688975,1.600081
http://data.fixer.io/api/,918345599,1999-02-06,EUR,1.127597,1.0,127.734477,0.689031,1.601236
http://data.fixer.io/api/,918431999,1999-02-07,EUR,1.127597,1.0,127.734477,0.689031,1.601236
http://data.fixer.io/api/,918518399,1999-02-08,EUR,1.130103,1.0,128.99718,0.690512,1.603758
http://data.fixer.io/api/,918604799,1999-02-09,EUR,1.130065,1.0,129.379142,0.690215,1.601084
http://data.fixer.io/api/,918691199,1999-02-10,EUR,1.133756,1.0,130.040578,0.695588,1.595474
http://data.fixer.io/api/,918777599,1999-02-11,EUR,1.126966,1.0,129.058815,0.694567,1.597834
http://data.fixer.io/api/,918863999,1999-02-12,EUR,1.12766,1.0,129.081196,0.692295,1.599332
http://data.fixer.io/api/,918950399,1999-02-13,EUR,1.126783,1.0,128.910764,0.692281,1.599052
http://data.fixer.io/api/,919036799,1999-02-14,EUR,1.126783,1.0,128.910764,0.692281,1.599052
http://data.fixer.io/api/,919123199,1999-02-15,EUR,1.124738,1.0,129.391752,0.690634,1.596727
http://data.fixer.io/api/,919209599,1999-02-16,EUR,1.119423,1.0,132.418333,0.685898,1.598327
http://data.fixer.io/api/,919295999,1999-02-17,EUR,1.123694,1.0,133.601511,0.687075,1.597784
http://data.fixer.io/api/,919382399,1999-02-18,EUR,1.121389,1.0,134.288445,0.685991,1.598217
http://data.fixer.io/api/,919468799,1999-02-19,EUR,1.108563,1.0,133.777148,0.68146,1.597339
http://data.fixer.io/api/,919555199,1999-02-20,EUR,1.111903,1.0,134.109217,0.683187,1.600303
http://data.fixer.io/api/,919641599,1999-02-21,EUR,1.111903,1.0,134.109217,0.683187,1.600303
http://data.fixer.io/api/,919727999,1999-02-22,EUR,1.102761,1.0,133.436133,0.679512,1.599788
http://data.fixer.io/api/,919814399,1999-02-23,EUR,1.081538,1.0,131.086254,0.670226,1.569041
http://data.fixer.io/api/,919900799,1999-02-24,EUR,1.09905,1.0,133.668006,0.687182,1.591134
http://data.fixer.io/api/,919987199,1999-02-25,EUR,1.104772,1.0,132.403021,0.688999,1.589579
http://data.fixer.io/api/,920073599,1999-02-26,EUR,1.101108,1.0,131.07001,0.687097,1.591948
http://data.fixer.io/api/,920159999,1999-02-27,EUR,1.102228,1.0,131.377561,0.687679,1.592266
http://data.fixer.io/api/,920246399,1999-02-28,EUR,1.102228,1.0,131.377561,0.687679,1.592266
http://data.fixer.io/api/,920332799,1999-03-01,EUR,1.090444,1.0,130.431158,0.678089,1.589605
http://data.fixer.io/api/,920419199,1999-03-02,EUR,1.091838,1.0,131.543638,0.677198,1.593205
http://data.fixer.io/api/,920505599,1999-03-03,EUR,1.089045,1.0,132.388926,0.67382,1.591041
http://data.fixer.io/api/,920591999,1999-03-04,EUR,1.082646,1.0,133.526113,0.673147,1.587827
http://data.fixer.io/api/,920678399,1999-03-05,EUR,1.083456,1.0,133.002583,0.674115,1.591711
http://data.fixer.io/api/,920764799,1999-03-06,EUR,1.083471,1.0,133.151588,0.674103,1.591737
http://data.fixer.io/api/,920851199,1999-03-07,EUR,1.083471,1.0,133.151588,0.674103,1.591737
http://data.fixer.io/api/,920937599,1999-03-08,EUR,1.089302,1.0,132.566499,0.677123,1.592138
http://data.fixer.io/api/,921023999,1999-03-09,EUR,1.087944,1.0,132.112884,0.674167,1.595648
http://data.fixer.io/api/,921110399,1999-03-10,EUR,1.095312,1.0,131.469832,0.673782,1.598922
http://data.fixer.io/api/,921196799,1999-03-11,EUR,1.097336,1.0,131.400508,0.673015,1.605003
http://data.fixer.io/api/,921283199,1999-03-12,EUR,1.09189,1.0,130.113877,0.668617,1.597218
